row_id,ISO,year,Education,Marital_Status,age,Saving,weight
1015361,RWA,2016,Secondary,Married,25-35,At Bank,406.93244
1015362,RWA,2016,Secondary,Single,18-25,Not saving,1017.3311
1015363,RWA,2016,Secondary,Married,>60,At other formal (non-bank),406.93244
1015364,RWA,2016,Primary,Single,<18,Informally,813.86488
1015366,RWA,2016,Vocational,Widowed,45-60,Informally,203.46622
1015367,RWA,2016,Vocational,Married,35-45,Informally,406.93244
1015368,RWA,2016,Secondary,Widowed,35-45,Informally,406.93246
1015369,RWA,2016,Primary,Single,18-25,Informally,406.93246
1015370,RWA,2016,No Formal,Divorced,45-60,Not saving,406.93246
1015371,RWA,2016,Secondary,Married,45-60,At other formal (non-bank),1017.33115
1015372,RWA,2016,Primary,Single,18-25,Not saving,406.93246
1015373,RWA,2016,Primary,Married,25-35,At other formal (non-bank),203.46623
1015374,RWA,2016,No Formal,Married,45-60,At Bank,406.93246
1015375,RWA,2016,Primary,Single,25-35,At other formal (non-bank),203.46623
1015376,RWA,2016,No Formal,Widowed,45-60,Not saving,203.46623
1015378,RWA,2016,No Formal,Divorced,>60,At other formal (non-bank),203.46623
1015380,RWA,2016,Primary,Married,25-35,At Bank,375.6268
1015381,RWA,2016,Primary,Married,35-45,Not saving,375.6268
1015382,RWA,2016,Primary,Married,25-35,Informally,375.6268
1015383,RWA,2016,Primary,Married,25-35,Informally,187.8134
1015384,RWA,2016,No Formal,Widowed,>60,Not saving,563.4402299999999
1015385,RWA,2016,No Formal,Widowed,>60,Not saving,187.81341
1015386,RWA,2016,No Formal,Married,45-60,Not saving,751.25364
1015387,RWA,2016,Primary,Single,18-25,At other formal (non-bank),563.4402299999999
1015388,RWA,2016,No Formal,Married,45-60,At other formal (non-bank),751.2536
1015389,RWA,2016,Tertiary,Married,45-60,At Bank,751.2536
1015390,RWA,2016,Secondary,Single,25-35,Informally,375.6268
1015392,RWA,2016,Secondary,Married,18-25,At Bank,375.62682
1015393,RWA,2016,Secondary,Married,45-60,Not saving,939.06705
1015394,RWA,2016,Secondary,Single,<18,Informally,751.25364
1015395,RWA,2016,Primary,Married,25-35,At Bank,187.81341
1015396,RWA,2016,No Formal,Married,35-45,At other formal (non-bank),563.4402299999999
1015398,RWA,2016,Primary,Widowed,>60,Informally,187.81341
1015399,RWA,2016,No Formal,Widowed,>60,At home,187.81341
1015400,RWA,2016,No Formal,Widowed,>60,Informally,187.81341
1015401,RWA,2016,No Formal,Widowed,45-60,At other formal (non-bank),751.25364
1015402,RWA,2016,Primary,Married,18-25,Informally,375.62682
1015403,RWA,2016,Primary,Married,25-35,Not saving,375.62682
1015404,RWA,2016,Secondary,Married,25-35,At other formal (non-bank),391.22064
1015405,RWA,2016,No Formal,Widowed,35-45,At other formal (non-bank),195.61032
1015406,RWA,2016,Primary,Married,>60,At other formal (non-bank),391.22064
1015407,RWA,2016,Primary,Married,25-35,At Bank,391.22064
1015408,RWA,2016,Primary,Divorced,25-35,At other formal (non-bank),187.8134
1015412,RWA,2016,No Formal,Married,45-60,Informally,196.07941
1015413,RWA,2016,Secondary,Single,18-25,Not saving,196.07941
1015414,RWA,2016,Primary,Married,25-35,Informally,196.07941
1015415,RWA,2016,No Formal,Married,35-45,At other formal (non-bank),392.15882
1015416,RWA,2016,Vocational,Married,>60,Informally,224.01115
1015417,RWA,2016,Primary,Married,35-45,At other formal (non-bank),224.01115
1015418,RWA,2016,No Formal,Married,45-60,Informally,448.0223
1015419,RWA,2016,Primary,Married,25-35,At other formal (non-bank),448.0223
1015420,RWA,2016,Primary,Married,>60,At other formal (non-bank),452.70472
1015421,RWA,2016,Primary,Married,25-35,Informally,452.70472
1015422,RWA,2016,Vocational,Married,>60,At other formal (non-bank),679.0570799999999
1015423,RWA,2016,Primary,Married,25-35,At Bank,452.70472
1015424,RWA,2016,Primary,Married,45-60,Informally,470.90102
1015425,RWA,2016,Vocational,Married,45-60,Informally,1177.25255
1015426,RWA,2016,Secondary,Married,35-45,At other formal (non-bank),941.80204
1015427,RWA,2016,Secondary,Single,25-35,Informally,706.35153
1015428,RWA,2016,Primary,Married,25-35,At other formal (non-bank),455.20432
1015429,RWA,2016,No Formal,Married,45-60,At other formal (non-bank),682.80648
1015430,RWA,2016,Primary,Married,25-35,At other formal (non-bank),910.40864
1015431,RWA,2016,Secondary,Married,35-45,At Bank,455.20432
1015432,RWA,2016,Primary,Married,35-45,Informally,439.15134000000006
1015433,RWA,2016,No Formal,Widowed,>60,Not saving,219.57567000000003
1015434,RWA,2016,No Formal,Widowed,45-60,At other formal (non-bank),658.72701
1015435,RWA,2016,No Formal,Divorced,35-45,Not saving,219.57567000000003
1015436,RWA,2016,Primary,Married,25-35,Not saving,439.15134000000006
1015438,RWA,2016,No Formal,Married,35-45,Not saving,219.57567000000003
1015439,RWA,2016,Primary,Widowed,>60,Informally,219.57567000000003
1015441,RWA,2016,Primary,Married,35-45,Informally,219.57567000000003
1015442,RWA,2016,Secondary,Married,18-25,At other formal (non-bank),439.15134000000006
1015443,RWA,2016,Primary,Married,35-45,At other formal (non-bank),219.57567000000003
1015444,RWA,2016,Secondary,Married,35-45,At Bank,439.15134000000006
1015445,RWA,2016,Secondary,Married,35-45,At Bank,219.57567000000003
1015446,RWA,2016,Primary,Married,25-35,At other formal (non-bank),219.57567000000003
1015447,RWA,2016,Primary,Married,35-45,At other formal (non-bank),439.15134000000006
1015448,RWA,2016,Primary,Married,25-35,Informally,435.54936
1015449,RWA,2016,Primary,Married,45-60,Not saving,435.54936
1015450,RWA,2016,No Formal,Married,25-35,At other formal (non-bank),217.77468
1015452,RWA,2016,No Formal,Married,35-45,Informally,435.54936
1015453,RWA,2016,Primary,Married,45-60,Informally,435.54936
1015454,RWA,2016,Primary,Divorced,25-35,Informally,435.54936
1015455,RWA,2016,No Formal,Married,35-45,At other formal (non-bank),653.3240400000001
1015456,RWA,2016,Primary,Widowed,45-60,Informally,241.6538
1015457,RWA,2016,No Formal,Divorced,35-45,Informally,724.9614
1015458,RWA,2016,Primary,Widowed,35-45,Not saving,241.6538
1015459,RWA,2016,No Formal,Widowed,>60,Not saving,241.6538
1015460,RWA,2016,Primary,Single,18-25,At home,871.09872
1015461,RWA,2016,No Formal,Divorced,25-35,Informally,435.54936
1015462,RWA,2016,Primary,Divorced,35-45,At home,217.77468
1015463,RWA,2016,Primary,Married,45-60,At home,435.54936
1015464,RWA,2016,Secondary,Married,45-60,At other formal (non-bank),435.54936
1015465,RWA,2016,Primary,Married,45-60,At Bank,871.09872
1015466,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),1088.8734
1015467,RWA,2016,Primary,Widowed,45-60,Informally,217.77468
1015468,RWA,2016,No Formal,Married,25-35,At other formal (non-bank),435.54934000000003
1015469,RWA,2016,Primary,Single,18-25,At other formal (non-bank),653.3240099999999
1015470,RWA,2016,Secondary,Married,18-25,At home,435.54934000000003
1015471,RWA,2016,No Formal,Married,35-45,At home,435.54934000000003
1015472,RWA,2016,Primary,Married,45-60,At other formal (non-bank),458.4243
1015473,RWA,2016,Primary,Married,45-60,At other formal (non-bank),305.6162
1015474,RWA,2016,Primary,Married,25-35,Informally,305.6162
1015475,RWA,2016,Primary,Single,18-25,At home,305.6162
1015476,RWA,2016,Primary,Married,45-60,Informally,205.27232
1015477,RWA,2016,No Formal,Married,45-60,Informally,410.54464
1015478,RWA,2016,Primary,Married,35-45,Informally,410.54464
1015479,RWA,2016,Primary,Widowed,45-60,Informally,410.54464
1015480,RWA,2016,Primary,Widowed,45-60,At Bank,410.54464
1015481,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),205.27232
1015482,RWA,2016,No Formal,Divorced,35-45,Not saving,410.54464
1015483,RWA,2016,Primary,Married,45-60,Informally,821.08928
1015484,RWA,2016,Primary,Divorced,25-35,At other formal (non-bank),205.27232
1015485,RWA,2016,No Formal,Widowed,45-60,At other formal (non-bank),205.27232
1015487,RWA,2016,Primary,Widowed,45-60,At home,205.27232
1015488,RWA,2016,Primary,Married,45-60,Informally,410.54464
1015489,RWA,2016,No Formal,Married,25-35,At other formal (non-bank),410.54464
1015490,RWA,2016,Primary,Married,25-35,At other formal (non-bank),410.54464
1015491,RWA,2016,Primary,Married,25-35,At home,410.54464
1015492,RWA,2016,No Formal,Widowed,>60,At other formal (non-bank),203.55727
1015493,RWA,2016,Primary,Divorced,45-60,At other formal (non-bank),203.55727
1015494,RWA,2016,Primary,Married,45-60,At other formal (non-bank),407.11454
1015495,RWA,2016,Secondary,Widowed,>60,At Bank,203.55727
1015496,RWA,2016,Primary,Married,45-60,At other formal (non-bank),805.1636
1015497,RWA,2016,Secondary,Single,18-25,Not saving,805.1636
1015498,RWA,2016,Primary,Married,25-35,Informally,402.5818
1015500,RWA,2016,Primary,Married,35-45,At other formal (non-bank),394.0653
1015501,RWA,2016,Vocational,Single,25-35,At Bank,197.03265
1015502,RWA,2016,Primary,Married,25-35,At home,197.03265
1015503,RWA,2016,Primary,Married,25-35,At other formal (non-bank),394.0653
1015504,RWA,2016,No Formal,Married,45-60,At other formal (non-bank),262.52924
1015505,RWA,2016,Secondary,Married,35-45,At Bank,262.52924
1015506,RWA,2016,Secondary,Single,18-25,Informally,656.3231
1015507,RWA,2016,Primary,Married,25-35,At other formal (non-bank),262.52924
1015508,RWA,2016,Primary,Single,25-35,At other formal (non-bank),985.16325
1015509,RWA,2016,Primary,Single,18-25,At other formal (non-bank),1773.29385
1015510,RWA,2016,Tertiary,Married,45-60,At Bank,591.09795
1015511,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),985.16325
1015512,RWA,2016,Tertiary,Single,25-35,At Bank,197.03265
1015513,RWA,2016,Secondary,Married,18-25,At other formal (non-bank),788.1306
1015514,RWA,2016,Secondary,Single,25-35,At Bank,985.16325
1015515,RWA,2016,Secondary,Single,25-35,At Bank,591.09795
1015516,RWA,2016,Primary,Married,25-35,At home,394.0653
1015517,RWA,2016,Secondary,Divorced,25-35,At Bank,985.16325
1015518,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),788.1306
1015519,RWA,2016,Primary,Married,35-45,At other formal (non-bank),788.1306
1015520,RWA,2016,Secondary,Single,25-35,At Bank,1182.1959
1015521,RWA,2016,Vocational,Single,18-25,At Bank,591.09795
1015522,RWA,2016,Primary,Single,35-45,At other formal (non-bank),197.03265
1015523,RWA,2016,Primary,Married,35-45,Informally,394.0653
1015524,RWA,2016,Secondary,Married,25-35,At Bank,401.21418
1015525,RWA,2016,Secondary,Widowed,45-60,At Bank,200.60709
1015526,RWA,2016,Primary,Widowed,35-45,At other formal (non-bank),401.21418
1015527,RWA,2016,Primary,Divorced,35-45,At other formal (non-bank),200.60709
1015528,RWA,2016,No Formal,Widowed,35-45,At Bank,401.21418
1015529,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),788.1306400000001
1015530,RWA,2016,Secondary,Married,25-35,At Bank,394.06532000000004
1015531,RWA,2016,Primary,Single,18-25,At home,788.1306400000001
1015532,RWA,2016,No Formal,Divorced,45-60,Informally,591.09798
1015533,RWA,2016,Secondary,Married,25-35,At Bank,368.76977999999997
1015534,RWA,2016,Primary,Married,18-25,At other formal (non-bank),368.76977999999997
1015535,RWA,2016,Primary,Married,45-60,At other formal (non-bank),737.5395599999999
1015536,RWA,2016,No Formal,Divorced,>60,At Bank,184.38488999999998
1015537,RWA,2016,Primary,Married,35-45,Informally,368.76977999999997
1015538,RWA,2016,Primary,Divorced,35-45,At Bank,368.76977999999997
1015539,RWA,2016,Primary,Married,25-35,At other formal (non-bank),368.76977999999997
1015540,RWA,2016,Primary,Single,35-45,At Bank,184.38488999999998
1015541,RWA,2016,Primary,Divorced,35-45,At Bank,921.92445
1015543,RWA,2016,Secondary,Single,18-25,At Bank,737.5395599999999
1015544,RWA,2016,Primary,Married,25-35,At Bank,368.76977999999997
1015545,RWA,2016,Primary,Married,25-35,At Bank,184.38488999999998
1015546,RWA,2016,Vocational,Married,>60,At Bank,1106.30934
1015547,RWA,2016,Primary,Married,45-60,At home,737.5395599999999
1015548,RWA,2016,Secondary,Married,25-35,At Bank,553.15467
1015549,RWA,2016,Primary,Single,18-25,At other formal (non-bank),553.1547
1015550,RWA,2016,Primary,Married,35-45,At home,553.1547
1015551,RWA,2016,Primary,Divorced,25-35,At other formal (non-bank),368.7698
1015552,RWA,2016,No Formal,Married,>60,At Bank,1106.3094
1015553,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),553.1547
1015554,RWA,2016,Primary,Single,25-35,At other formal (non-bank),737.5396
1015555,RWA,2016,Primary,Single,<18,At home,553.1547
1015556,RWA,2016,Tertiary,Single,35-45,At Bank,368.7698
1015557,RWA,2016,Secondary,Single,25-35,At other formal (non-bank),368.76977999999997
1015558,RWA,2016,Primary,Widowed,45-60,At Bank,368.76977999999997
1015559,RWA,2016,Primary,Divorced,45-60,At Bank,368.76977999999997
1015560,RWA,2016,Primary,Married,25-35,At Bank,921.92445
1015561,RWA,2016,Primary,Single,35-45,At Bank,1475.07904
1015562,RWA,2016,Primary,Single,18-25,At other formal (non-bank),1106.3092800000002
1015563,RWA,2016,No Formal,Single,18-25,At other formal (non-bank),553.1546400000001
1015564,RWA,2016,Secondary,Married,35-45,At Bank,368.76976
1015565,RWA,2016,Primary,Married,25-35,At Bank,553.1546400000001
1015566,RWA,2016,Secondary,Single,18-25,At home,368.76976
1015567,RWA,2016,Secondary,Married,35-45,At Bank,553.1546400000001
1015568,RWA,2016,Primary,Divorced,35-45,At other formal (non-bank),737.53952
1015569,RWA,2016,Secondary,Single,35-45,At Bank,402.57148
1015570,RWA,2016,No Formal,Widowed,>60,At Bank,805.14296
1015571,RWA,2016,Secondary,Single,25-35,At Bank,805.14296
1015572,RWA,2016,Secondary,Married,35-45,At Bank,402.57148
1015573,RWA,2016,No Formal,Widowed,>60,At other formal (non-bank),699.71362
1015574,RWA,2016,Secondary,Married,35-45,At other formal (non-bank),699.71362
1015575,RWA,2016,Tertiary,Married,25-35,At Bank,2099.14086
1015576,RWA,2016,Vocational,Married,45-60,At other formal (non-bank),699.71362
1015577,RWA,2016,Secondary,Married,35-45,At Bank,699.71362
1015578,RWA,2016,Primary,Widowed,35-45,At other formal (non-bank),349.85681
1015579,RWA,2016,Secondary,Married,35-45,At home,699.71362
1015581,RWA,2016,Primary,Married,25-35,At other formal (non-bank),699.7136
1015582,RWA,2016,Secondary,Married,25-35,At Bank,699.7136
1015583,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),1749.2839999999999
1015584,RWA,2016,Vocational,Married,45-60,At Bank,1399.4272
1015585,RWA,2016,Primary,Single,25-35,At other formal (non-bank),1049.5704
1015586,RWA,2016,Vocational,Married,35-45,At other formal (non-bank),699.7136
1015587,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),2099.1408
1015588,RWA,2016,Secondary,Married,45-60,At Bank,699.7136
1015589,RWA,2016,Tertiary,Divorced,25-35,At Bank,349.8568
1015590,RWA,2016,Secondary,Single,<18,At home,1749.2839999999999
1015591,RWA,2016,Secondary,Single,25-35,At Bank,699.7136
1015592,RWA,2016,Secondary,Single,35-45,At home,349.8568
1015593,RWA,2016,Primary,Married,35-45,At other formal (non-bank),400.54323
1015594,RWA,2016,Primary,Married,25-35,At other formal (non-bank),801.08646
1015595,RWA,2016,Primary,Married,45-60,At other formal (non-bank),801.08646
1015596,RWA,2016,Primary,Single,18-25,At other formal (non-bank),400.54323
1015597,RWA,2016,Secondary,Widowed,>60,At other formal (non-bank),349.8568
1015598,RWA,2016,Tertiary,Married,45-60,At Bank,699.7136
1015600,RWA,2016,Secondary,Married,25-35,At other formal (non-bank),699.7136
1015601,RWA,2016,No Formal,Married,45-60,Informally,688.2852
1015602,RWA,2016,Primary,Married,45-60,At Bank,344.1426
1015603,RWA,2016,No Formal,Widowed,45-60,At home,344.1426
1015604,RWA,2016,No Formal,Married,>60,Informally,516.2139
1015605,RWA,2016,Primary,Divorced,45-60,Informally,344.1426
1015606,RWA,2016,Primary,Married,18-25,At other formal (non-bank),344.1426
1015607,RWA,2016,Secondary,Single,25-35,At Bank,344.1426
1015608,RWA,2016,Primary,Widowed,35-45,At Bank,172.0713
1015609,RWA,2016,Primary,Married,35-45,At other formal (non-bank),688.2852
1015610,RWA,2016,Primary,Divorced,25-35,At Bank,172.0713
1015611,RWA,2016,Primary,Widowed,>60,At Bank,344.1426
1015612,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),860.3565
1015613,RWA,2016,Primary,Married,35-45,At other formal (non-bank),344.14262
1015614,RWA,2016,Primary,Single,35-45,At home,344.14262
1015615,RWA,2016,Primary,Single,18-25,Informally,516.21393
1015616,RWA,2016,Primary,Married,25-35,At Bank,344.14262
1015617,RWA,2016,Secondary,Married,25-35,At Bank,344.14262
1015618,RWA,2016,Primary,Divorced,45-60,At home,344.14262
1015619,RWA,2016,Primary,Married,25-35,At Bank,516.21393
1015620,RWA,2016,Primary,Single,18-25,At other formal (non-bank),516.21393
1015621,RWA,2016,No Formal,Married,45-60,At other formal (non-bank),344.1426
1015622,RWA,2016,Primary,Married,35-45,At other formal (non-bank),516.2139
1015623,RWA,2016,Secondary,Married,35-45,At Bank,344.1426
1015624,RWA,2016,Secondary,Single,<18,At home,344.1426
1015625,RWA,2016,Secondary,Single,<18,At home,516.2139
1015626,RWA,2016,No Formal,Married,45-60,Informally,344.1426
1015627,RWA,2016,Primary,Married,25-35,At other formal (non-bank),344.1426
1015628,RWA,2016,Primary,Married,35-45,At other formal (non-bank),344.1426
1015629,RWA,2016,Vocational,Married,45-60,At Bank,516.21393
1015630,RWA,2016,Primary,Married,45-60,Informally,688.28524
1015631,RWA,2016,Primary,Married,35-45,At other formal (non-bank),516.21393
1015632,RWA,2016,Primary,Single,<18,At home,344.14262
1015633,RWA,2016,Primary,Single,45-60,At other formal (non-bank),189.21900000000002
1015634,RWA,2016,Primary,Married,45-60,Informally,378.43800000000005
1015635,RWA,2016,Primary,Married,18-25,Informally,378.43800000000005
1015636,RWA,2016,Primary,Single,18-25,At home,756.8760000000001
1015637,RWA,2016,Primary,Single,18-25,At other formal (non-bank),381.87162
1015638,RWA,2016,No Formal,Married,45-60,At other formal (non-bank),381.87162
1015639,RWA,2016,No Formal,Married,>60,At home,381.87162
1015640,RWA,2016,Primary,Married,25-35,Not saving,381.87162
1015641,RWA,2016,Tertiary,Married,35-45,At Bank,381.87162
1015642,RWA,2016,Primary,Married,25-35,At other formal (non-bank),381.87162
1015643,RWA,2016,Secondary,Married,45-60,At Bank,572.80743
1015644,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),381.87162
1015645,RWA,2016,Primary,Single,18-25,At other formal (non-bank),572.80743
1015646,RWA,2016,Primary,Married,>60,Informally,381.87162
1015647,RWA,2016,Primary,Married,45-60,At other formal (non-bank),381.87162
1015649,RWA,2016,Primary,Married,35-45,At home,381.87162
1015650,RWA,2016,No Formal,Single,>60,At other formal (non-bank),190.93581
1015651,RWA,2016,Primary,Single,25-35,Not saving,954.67905
1015652,RWA,2016,Secondary,Married,45-60,At other formal (non-bank),381.87162
1015656,RWA,2016,Secondary,Single,<18,At other formal (non-bank),572.80743
1015657,RWA,2016,No Formal,Married,45-60,At home,381.87162
1015658,RWA,2016,Primary,Married,18-25,At home,388.14866
1015659,RWA,2016,No Formal,Married,35-45,At Bank,388.14866
1015660,RWA,2016,Primary,Married,25-35,At other formal (non-bank),388.14866
1015661,RWA,2016,No Formal,Married,>60,Not saving,388.14866
1015662,RWA,2016,No Formal,Single,18-25,At home,381.87162
1015663,RWA,2016,No Formal,Married,25-35,At Bank,381.87162
1015666,RWA,2016,No Formal,Single,>60,At home,401.51256
1015667,RWA,2016,Primary,Married,35-45,At home,401.51256
